unique_id|competitor_name|extraction_date|product_name|brand|grammage_quantity|grammage_unit|breadcrumb|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|price_per_unit|currency|pdp_url|Fat %|variants|product_description|instructions|storage_instructions|country_of_origin|allergens|nutritional_score|organictype|upc|ingredients|servings_per_pack|img_urls
1226701|aldi|2025-05-08|Mozzarella light|Cucina nobile|125.0|g|ALDI Supermarkten > Product > Mozzarella light|ALDI Supermarkten|Product|Mozzarella light|||0.95|0.95|None|||||||7.6|EUR|https://www.aldi.nl/product/mozzarella-light-1226701.html||||||nl||||1226701|||https://s7g10.scene7.com/is/image/aldinord/product_1226701_main_cms_1_nl_nl_mozzarella_light_cw01_2024
1226700|aldi|2025-05-08|Buffelmozzarella|Cucina nobile|125.0|g|ALDI Supermarkten > Product > Buffelmozzarella|ALDI Supermarkten|Product|Buffelmozzarella|||1.79|1.79|None|||||||14.32|EUR|https://www.aldi.nl/product/buffelmozzarella-1226700.html||||||nl||||1226700|||https://s7g10.scene7.com/is/image/aldinord/product_1226700_main_cms_1_nl_nl_buffelmozzarella_cw01_2024
1226376|aldi|2025-05-08|Smeerkaas 20+ sambal|Milsani|200.0|g|ALDI Supermarkten > Product > Smeerkaas 20+ sambal|ALDI Supermarkten|Product|Smeerkaas 20+ sambal|||1.49|1.49|None|||||||7.45|EUR|https://www.aldi.nl/product/smeerkaas-20+-sambal--1226376.html||||||nl||||1226376|||https://s7g10.scene7.com/is/image/aldinord/product_1226376_main_cms_2_nl_nl_smeerkaas_20_sambal_cw01_2024
1226373|aldi|2025-05-08|Smeerkaas 45+ sambal|Milsani|200.0|g|ALDI Supermarkten > Product > Smeerkaas 45+ sambal|ALDI Supermarkten|Product|Smeerkaas 45+ sambal|||1.49|1.49|None|||||||7.45|EUR|https://www.aldi.nl/product/smeerkaas-45+-sambal--1226373.html||||||nl||||1226373|||https://s7g10.scene7.com/is/image/aldinord/product_1226373_main_cms_2_nl_nl_smeerkaas_45_sambal_cw01_2024
1226372|aldi|2025-05-08|Goudse komijnekaas 48+|Molenland|520.0|g|ALDI Supermarkten > Product > Goudse komijnekaas 48+|ALDI Supermarkten|Product|Goudse komijnekaas 48+|||5.69|5.69|None|||||||10.94|EUR|https://www.aldi.nl/product/goudse-komijnekaas-48+--1226372.html|||Goudse jonge kaas met komijn.|||nl||||1226372|||https://s7g10.scene7.com/is/image/aldinord/product_1226372_main_cms_1_nl_nl_goudse_komijnekaas_48_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem
1226371|aldi|2025-05-08|Griekse stijl zachte witte kaas|Lyttos|250.0|g|ALDI Supermarkten > Product > Griekse stijl zachte witte kaas|ALDI Supermarkten|Product|Griekse stijl zachte witte kaas|||1.89|1.89|None|||||||7.56|EUR|https://www.aldi.nl/product/griekse-stijl-zachte-witte-kaas-1226371.html||||||nl||||1226371|||https://s7g10.scene7.com/is/image/aldinord/product_1226371_main_cms_3_nl_nl_griekse_stijl_zachte_witte_kaas_cw01_2024
1226370|aldi|2025-05-08|Brie 60+|le coq de france|200.0|g|ALDI Supermarkten > Product > Brie 60+|ALDI Supermarkten|Product|Brie 60+|||1.49|1.49|None|||||||7.45|EUR|https://www.aldi.nl/product/brie-60+-1226370.html||||||nl||||1226370|||https://s7g10.scene7.com/is/image/aldinord/product_1226370_main_cms_2_nl_nl_brie_60_cw01_2024
1226234|aldi|2025-05-08|Goudse kaas 48+ jong belegen|molenland|190.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ jong belegen|ALDI Supermarkten|Product|Goudse kaas 48+ jong belegen|||2.49|2.49|None|||||||13.11|EUR|https://www.aldi.nl/product/-goudse-kaas-48+-jong-belegen---1226234.html||||||nl||||1226234|||https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem,https://s7g10.scene7.com/is/image/aldinord/product_1226234_main_cms_1_nl_nl_goudse_kaas_48_jong_belegen_cw01_2024
1226232|aldi|2025-05-08|Grana Padano|Cucina nobile|200.0|g|ALDI Supermarkten > Product > Grana Padano|ALDI Supermarkten|Product|Grana Padano|||3.79|3.79|3.89|3.79|2025-05-05|2025-05-12|discount|2.57%||18.95|EUR|https://www.aldi.nl/product/-grana-padano-1226232.html||||||nl||||1226232|||https://s7g10.scene7.com/is/image/aldinord/product_1226232_main_cms_2_nl_nl_grana_padano_cw01_2024
1226229|aldi|2025-05-08|Goudse kaas 48+ belegen|Molenland|450.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ belegen|ALDI Supermarkten|Product|Goudse kaas 48+ belegen|||4.69|4.69|None|||||||10.42|EUR|https://www.aldi.nl/product/goudse-kaas-48+-belegen--1226229.html|||Gekozen Huismerk Product van het jaar 2023.|||nl||||1226229|||https://s7g10.scene7.com/is/image/aldinord/Best_getest,https://s7g10.scene7.com/is/image/aldinord/product_1226229_main_cms_4_nl_nl_goudse_kaas_48_belegen_cw01_2024
1226227|aldi|2025-05-08|Goudse kaas 48+ extra belegen|molenland|450.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ extra belegen|ALDI Supermarkten|Product|Goudse kaas 48+ extra belegen|||4.89|4.89|None|||||||10.87|EUR|https://www.aldi.nl/product/goudse-kaas-48+-extra-belegen---1226227.html|||Superior taste award, januari 2025.|||nl||||1226227|||https://s7g10.scene7.com/is/image/aldinord/product_1226227_main_cms_3_nl_nl_goudse_kaas_48_extra_belegen_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Superior_Taste_Award_2024_1ster
1226223|aldi|2025-05-08|Goudse kaas 48+ oud|molenland|450.0|g|ALDI Supermarkten > Product > Goudse kaas 48+ oud|ALDI Supermarkten|Product|Goudse kaas 48+ oud|||5.39|5.39|None|||||||11.98|EUR|https://www.aldi.nl/product/-goudse-kaas-48+-oud--1226223.html|||Natuurgerijpt.|||nl||||1226223|||https://s7g10.scene7.com/is/image/aldinord/product_1226223_main_cms_1_nl_nl_goudse_kaas_48_oud_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem
