unique_id|competitor_name|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|price_per_unit|currency|beadcrumb|pdp_url|Fat %|variants|product_description|instructions|storage_instructions|country_of_origin|allergens|nutritional_score|organictype|file_name_1|upc|ingredients|servings_per_pack
589006|albert_heijn|None|Van de Boom Troebele groene ijsthee peer & honing|Van de Boom|None|1.5|Liter|Home|Producten|Frisdrank, sappen, water|Ice tea|1.99|1.99|||||None|||1.33 per LT|€||https://www.ah.nl/producten/product/wi589006/troebele-groene-ijsthee-peer-en-honing|0.02|None|Drank op basis van groene thee-extract en zuivel, met peer- en honingsmaak. Met toegevoegde vitamine C en gezoet met zoetstoffen. Kort verhit. 0% suiker toegevoegd Laag in suiker Laag in calorieën Bron van vitamine C Bevat van nature aanwezige suikers|Koel serveren. Schudden voor gebruik.|"Na openen gekoeld (max. +7℃) enkele dagen houdbaar.
Ten minste houdbaar tot: zie bovenkant pak."|None|None|C|Non-Organic|None|None|Ingrediënten: Water, vloeibare MELKbestanddelen (MELKpermeaat) 10%, perensap uit concentraat 4,0%, ROOM <0,1%, groene thee-extract 0,1%, stabilisator (pectine), voedingszuur (citroenzuur), natuurlijk aroma, honing extract, zoetstoffen (sucralose, acesulfaam-k), vitamine C|100 Milliliter
196003|albert_heijn|None|7up Regular|7up|None|1.0|Liter|Home|Producten|Frisdrank, sappen, water|Sinas, lemon, cassis|2.19|2.19|||||None|||2.19 per LT|€||https://www.ah.nl/producten/product/wi196003/regular|0|None|Frisdrank met natuurlijk citroen- en limoenaroma, suiker en zoetstof. 30% minder suiker dan andere suiker- en koolzuurhoudende frisdranken.||Koel, droog en donker bewaren. Na openen berperkt houdbaar.|None|None|D|Non-Organic|None|None|Ingrediënten: koolzuurhoudend water, suiker, voedingszuren (citroenzuur, appelzuur), natuurlijk citroen- en limoenaroma met andere natuurlijke aroma's, zuurteregelaar (natriumcitraat), zoetstof (steviolglycosiden).|100 Milliliter
189776|albert_heijn|None|AH Ice tea green koolzuurvrij|AH|None|500.0|Milliliter|Home|Producten|Frisdrank, sappen, water|Ice tea|0.59|0.59|||||None|||1.18 per LT|€||https://www.ah.nl/producten/product/wi189776/ice-tea-green-koolzuurvrij|0|None|Koolzuurvrije frisdrank met 0,1% groene thee-extract met suiker en zoetstof||Ten minste houdbaar tot einde: zie bovenzijde. Kijk, ruik en proef na deze datum. Koel, donker en droog bewaren. Na openen gekoeld bewaren (max. 7°C), beperkt houdbaar.|None|None|D|Non-Organic|None|None|"Ingrediënten: water, fructosestroop, voedingszuur (citroenzuur [E330]), groene thee-extract°, natuurlijke aroma's, zuurteregelaar (natriumcitraten [E331]), conserveermiddel (kaliumsorbaat [E202]), antioxidant (ascorbinezuur [E300]), zoetstof (steviolglycosiden uit Stevia [E960a]).
Waarvan toegevoegde suikers 3.6g per 100 milliliter en waarvan toegevoegd zout 0.00g per 100 milliliter
°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org"|100 Milliliter
195821|albert_heijn|None|Red Bull Energy drink|Red Bull|None|250.0|Milliliter|Home|Producten|Frisdrank, sappen, water|Energy drink, sportdranken|1.69|1.69||1.69|||None|||6.76 per LT|€||https://www.ah.nl/producten/product/wi195821/energy-drink|0|None|Energy Drink Niet aan bevolen voor kinderen en vrouwen die zwanger zijn of borstvoeding geven (32 mg/100 ml). Gepasteuriseerd. Hoog cafeïnegehalte.|Drink met mate.||None|None|E|Non-Organic|None|None|ingrediënten: koolzuurhoudend water, sacharose, glucose, voedingszuur (citroenzuur), taurine (0,4%), zuurteregelaars (natriumcarbonaten, magnesiumcarbonaten), cafeïne (0,03%), vitaminen (niacine, pantotheenzuur, riboflavine, vitamine b6, vitamine b12) aromas, kleurstof (karamel).|100 Milliliter
477053|albert_heijn|None|AH Ice tea refreshing green 12-pack|AH|None|250.0|Milliliter|Home|Producten|Frisdrank, sappen, water|Ice tea|3.79|3.79|||||None|||1.26 per LT|€||https://www.ah.nl/producten/product/wi477053/ice-tea-refreshing-green-12-pack|0|None|Koolzuurvrije frisdrank met 0,1% groene thee-extract met suiker en zoetstof||Ten minste houdbaar tot einde: zie onderzijde. Kijk, ruik en proef na deze datum. Koel, donker en droog bewaren.|None|None|D|Non-Organic|None|None|"Ingrediënten: water, fructosestroop, voedingszuur (citroenzuur [E330]), groene thee-extract°, natuurlijke aroma's, zuurteregelaar (natriumcitraten [E331]), conserveermiddel (kaliumsorbaat [E202]), antioxidant (ascorbinezuur [E300]), zoetstof (steviolglycosiden uit Stevia [E960a]).
Waarvan toegevoegde suikers 3.6g per 100 milliliter en waarvan toegevoegd zout 0.00g per 100 milliliter
°Rainforest Alliance gecertificeerd. Zie voor meer informatie ra.org"|100 Milliliter
161332|albert_heijn|None|Fanta Lemon zero sugar|Fanta|None|1.5|Liter|Home|Producten|Frisdrank, sappen, water|Sinas, lemon, cassis|2.75|2.75|||||None|||1.83 per LT|€||https://www.ah.nl/producten/product/wi161332/lemon-zero-sugar|0|None|Frisdrank met citroensap, met zoetstoffen. No sugar Bevat een bron van fenylalanine.|Best served chilled.|Koel, droog, geurvrij en uit het zonlicht bewaren.|None|None|C|Non-Organic|None|None|Ingrediënten: Sprankelend water; citroensap uit sapconcentraat (6%); voedingszuren: citroenzuur, natriumcitraat; zoetstoffen: aspartaam, acesulfaam-K, natrium-sacharine; conserveermiddel: kaliumsorbaat; stabilisatoren: arabische gom, glycerolesters van houthars; antioxidant: ascorbinezuur; natuurlijke citroenaroma's met ander natuurlijk aroma.|100 Milliliter
207521|albert_heijn|None|AA Drink High energy|AA Drink|None|0.33|Liter|Home|Producten|Energie voeding, sportvoeding|Sportvoeding|0.99|0.99|||||None|||3 per LT|€||https://www.ah.nl/producten/product/wi207521/high-energy|0|None|Hypertone sportdrank met koolhydraten||Op een droge, koele, reukloze plaats, uit het zonlicht bewaren.|None|None|E|Non-Organic|None|None|Ingrediënten: water, sacharose, fructose, glucose-fructosestroop, dextrose, voedingszuur: citroenzuur, conserveermiddel: kaliumsorbaat, aroma, antioxidant: ascorbinezuur, stabilisator: E415, E445, kleurstof: bètacaroteen, natriumchloride.|100 Milliliter
496902|albert_heijn|None|Lipton Ice tea peach 4-pack|Lipton|None|250.0|Milliliter|Home|Producten|Frisdrank, sappen, water|Ice tea|3.59|3.59|||||None|||3.59 per LT|€||https://www.ah.nl/producten/product/wi496902/ice-tea-peach-4-pack|0|None|Verfrissende drank met thee-extract en perziksap, gezoet met suiker en zoetstof van natuurlijke oorsprong.|Rainforest Alliance logo Black Tea||None|None|C|Non-Organic|None|None|Ingrediënten: water, suiker, fructose, voedingszuren (appelzuur, citroenzuur), thee-extract(1) (0,12%), perziksap van geconcentreerd sap (0,1%), zuurteregelaar (trinatriumcitraat), aroma's, antioxidant (ascorbinezuur), zoetstof (steviolglycosiden van Stevia). (1)Rainforest Alliance Certified. More information on ra.org.|100 Milliliter
588065|albert_heijn|None|Red Bull Pink edition sugarfree bosvruchtensmaak|Red Bull|None|250.0|Milliliter|Home|Producten|Frisdrank, sappen, water|Energy drink, sportdranken|1.69|1.69||1.69|||None|||6.76 per LT|€||https://www.ah.nl/producten/product/wi588065/pink-edition-sugarfree-bosvruchtensmaak|0|None|Energy Drink met zoetstoffen en de smaak van bosvruchten Sugar Free. Niacine en vitamine B6 dragen bij tot de vermindering van vermoeidheid en moeheid en een normaal energieleverend metabolisme. Hoog cafeïnegehalte. Niet aanbevolen voor kinderen en vrouwen die zwanger zijn of borstvoeding geven (32 mg/100 ml). Gepasteuriseerd. Een gevarieerde en evenwichtige voeding en een gezonde levensstijl zijn aanbevolen.|Drink met mate.||None|None|C|Non-Organic|None|None|Ingrediënten: koolzuurhoudend water, voedingszuur (citroenzuur), taurine (0,4%), zuurteregelaar (natriumcitraten), zoetstoffen (sucralose, acesulfaam-K), cafeïne (0,03%), vitaminen (niacine, pantotheenzuur, riboflavine, vitamine B6, vitamine B12), aroma's, verdikkingsmiddel (xanthaangom), kleurstof (anthocyanen).|100 Milliliter
170160|albert_heijn|None|Sourcy Vitaminwater braam bosbes|Sourcy|None|0.5|Liter|Home|Producten|Frisdrank, sappen, water|Energy drink, sportdranken|1.79|1.79|||||None|||3.58 per LT|€||https://www.ah.nl/producten/product/wi170160/vitaminwater-braam-bosbes|0|None|Koolzuurvrije drank op basis van bronwater met de smaak van braam en bosbes, met toegevoegde vitaminen, açai-extract en zink, met zoetstoffen. 0% suiker. Vitamine B6, B12 en Zink hebben een positieve werking op het immuunsysteem. Vitamine E en Zink zijn antioxidanten die helpen bij het natuurlijke afweersysteem van lichaamscellen. Sourcy Vitaminwater is een aanvulling op een gezonde levensstijl. Een gevarieerde, evenwichtige voeding en gezonde leefstijl zijn belangrijk.||Ten minste houdbaar tot einde: zie hals fles.  Koel, droog en donker bewaren. Na openen beperkt houdbaar.|None|None|C|Non-Organic|None|None|Ingrediënten: bronwater, voedingszuur (citroenzuur), zuurteregelaar (trinatriumcitraat), natuurlijk aroma, zoetstoffen (sucralose, acesulfaam-K), conserveermiddel (kaliumsorbaat), kleurstof (anthocyanen), zinkgluconaat, açai- extract (0,001%), vitamine E, vitamine B6, vitamine B12.|100 Milliliter
568472|albert_heijn|None|Dr Foots Cola zero sugar|Dr Foots|None|330.0|Milliliter|Home|Producten|Frisdrank, sappen, water|Cola|0.79|0.79|||||None|||2.39 per LT|€||https://www.ah.nl/producten/product/wi568472/cola-zero-sugar|0|None|Frisdrank met plantenextracten en zoetstoffen, bevat cafeïne Zero sugar Bevat een bron van fenylalanine.|IJskoud serveren|Ten minste houdbaar tot einde, zie bodem blik.|None|None|C|Non-Organic|None|None|Ingrediënten: koolzuurhoudend water, kleurstof (E150d), zoetstoffen (aspartaam, acesulfaam-K), voedingszuur (E338), conserveermiddel (E211), aroma's as (cafeïne, aroma's).|100 Milliliter
437910|albert_heijn|None|Fuze Tea Black ice tea peach hibiscus 4-pack|Fuze Tea|None|250.0|Milliliter|Home|Producten|Frisdrank, sappen, water|Ice tea|3.15|3.15||3.15|||None|||3.15 per LT|€||https://www.ah.nl/producten/product/wi437910/black-ice-tea-peach-hibiscus-4-pack|0|None|​Frisdrank op basis van zwarte thee extract, met perzik- en hibiscussmaak, met suiker en zoetstof. Low calories ||Koel en droog bewaren. Ten minste houdbaar tot: zie bodem blik.|None|None|D|Non-Organic|None|None|Ingrediënten: Water; suiker voedingszuren: citroenzuur, appelzuur; zwarte thee extract+ (0.12%); perziksap uit concentraat (0.1%); natuurlijk* perzikaroma met andere natuurlijke aroma's zuurteregelaar: natriumcitraten; antioxidant;ascorbinezuur; zoetstof steviolglycosiden uit Stevia; hibiscusextract. +Rainforest Alliance Certified. Find out more at ra.org.|100 Milliliter
476721|albert_heijn|None|AH Ginger ale|AH|None|1.0|Liter|Home|Producten|Frisdrank, sappen, water|Tonic, ginger, bitter, crafts en speciaal fris|0.99|0.99|||||None|||0.99 per LT|€||https://www.ah.nl/producten/product/wi476721/ginger-ale|0|None|Koolzuurhoudende frisdrank met gembersmaak met suiker en zoetstoffen||Ten minste houdbaar tot einde: zie bovenzijde. Kijk, ruik en proef na deze datum. Koel, donker en droog bewaren. Na openen gekoeld bewaren (max. 7°C), beperkt houdbaar. De verpakking goed sluiten na gebruik.|None|None|D|Non-Organic|None|None|"Ingrediënten: koolzuurhoudend water, suiker, voedingszuur (citroenzuur [E330]), natuurlijk gember aroma en andere natuurlijke aroma's, conserveermiddel (kaliumsorbaat [E202]), zoetstof (acesulfaam-k [E950], sucralose [E955]), kleurstof (caramel [E150d]).
Waarvan toegevoegde suikers 3.0g per 100 milliliter en waarvan toegevoegd zout 0.00g per 100 milliliter"|100 Milliliter
